POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,Clc1cc(Cl)ccc1OCC(=O)O,6.5,25.0,50.81
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,6.5,25.0,13.44
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.5,25.0,6.75
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,6.5,25.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,6.5,25.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,6.5,25.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,25.0,13.17
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,25.0,13.78
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,25.0,22.63
*CC(C)(C(=O)O)*,Clc1cc(Cl)ccc1OCC(=O)O,6.5,25.0,0.0
*CC(C)(C(=O)O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,6.5,25.0,0.0
*CC(C)(C(=O)O)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.5,25.0,7.91
*CC(C)(C(=O)O)*,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,6.5,25.0,0.0
*CC(C)(C(=O)O)*,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,6.5,25.0,23.67
*CC(C)(C(=O)O)*,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,6.5,25.0,24.44
*CC(C)(C(=O)O)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,25.0,22.69
*CC(C)(C(=O)O)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,25.0,0.0
*CC(C)(C(=O)O)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,25.0,0.0
*CC(C)(C(=O)OCCO)*,Clc1cc(Cl)ccc1OCC(=O)O,6.5,25.0,3.46
*CC(C)(C(=O)OCCO)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,6.5,25.0,4.2
*CC(C)(C(=O)OCCO)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.5,25.0,13.26
*CC(C)(C(=O)OCCO)*,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,6.5,25.0,0.0
*CC(C)(C(=O)OCCO)*,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,6.5,25.0,0.0
*CC(C)(C(=O)OCCO)*,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,6.5,25.0,24.46
*CC(C)(C(=O)OCCO)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,25.0,5.6
*CC(C)(C(=O)OCCO)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,25.0,0.0
*CC(C)(C(=O)OCCO)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,25.0,14.73
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,Clc1cc(Cl)ccc1OCC(=O)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,6.5,0.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,6.5,0.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,0.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,0.0,0.0
*CC(C)(C(=O)OCCOC(=O)C(CCN)N)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,0.0,0.0
*CC(C)(C(=O)O)*,Clc1cc(Cl)ccc1OCC(=O)O,6.5,0.0,0.0
*CC(C)(C(=O)O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,6.5,0.0,0.0
*CC(C)(C(=O)O)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.5,0.0,0.0
*CC(C)(C(=O)O)*,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,6.5,0.0,0.0
*CC(C)(C(=O)O)*,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,6.5,0.0,0.0
*CC(C)(C(=O)O)*,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,6.5,0.0,0.0
*CC(C)(C(=O)O)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,0.0,0.0
*CC(C)(C(=O)O)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,0.0,0.0
*CC(C)(C(=O)O)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,Clc1cc(Cl)ccc1OCC(=O)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,0.0,0.0
*CC(C)(C(=O)OCCO)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,0.0,0.0
