PSMILES,min_sa_score,max_sa_score
CCOc1cc(oc1)/C=C\2/N(C(=O)N(C2=O)C)CC(=O)N,3.1337950374362187,3.1337950374362187
CNc1cc(cc(c1)S(=O)(=O)N2CC[NH+](CC2)C#N)[N+](=O)[O-],3.6796087418021415,3.6796087418021415
*CCCCCCCCCCCCCC[Si](C)(CCCCCCCCCCCCCCc1ccc(*)cc1)C,2.2455882713048965,2.439115018335107
*Oc1ccccc1C(=O)NCCCSCCSCSc1cc(*)s1,,
c1cc2c(cc1C(=O)[C@H]2c3ccccc3C(=O)[O-])Br,3.947122808351798,3.947122808351798
*Oc1ccccc1C(=O)Nc1ccc(C(=O)Nc2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,1.8471371397124052,2.050328062789328
CCN(CC)OC(=O)COc1ccccc1OC,2.261864349068837,2.261864349068837
*CCCSc1ccc(*)s1,2.3982061137344317,3.144264852426261
CCOC(=O)c1c([nH]c(n1C)SCC(=O)Nc2cc(cc2)Cl)C(=O)Nc3cccc4c(c3)OC,,
c1ccc2c(c1)c(=O)[nH]c2Sc3on2CO3,,
